accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3
-0.95379345,-0.029681684,-0.382863677,52.12060943,-22.19736955,10.19203013,0,0,1.134298875
-0.453030032,-0.2313925,-1.027099335,15.14677957,-24.43289096,54.12995181,0,0,0
-0.873474117,0.144328687,-0.597770102,107.693349,10.67618958,40.3179065,0,0.369571849,0.216885718
-0.30427918,-0.398909073,-0.975320488,74.68258285,-70.88293862,45.65401259,0,0,0
-0.803302723,0.180018636,-0.946981431,-52.95505303,47.71277941,-52.15888209,0,0.283371394,0
-0.654394974,0.062748218,0.463115751,20.329527,-27.76817406,0.176992359,0,0,0
-0.811047437,-0.069301946,-0.985378722,-2.17547547,9.801435674,-2.224174494,0.295068537,0.108436061,0
-0.533284972,0.616108728,-0.586503821,-79.81009346,150.9077325,-181.9118921,0,0,0
-0.735605979,0.150096811,-1.020772933,0.512263708,3.47239074,-3.62402174,0.062046166,0.236982776,0
-0.914074486,0.566065768,-0.667873861,96.19416911,175.7877707,24.65860777,0,0,0
-0.668502163,-0.070060265,-1.021023532,10.70885495,15.34646276,1.200000087,0.15028036,0.226689332,0
-1.406159157,0.551765286,-0.813136548,52.24242,-135.5954298,-46.82023886,0,0,0
-0.859854722,0.140859712,-0.926549513,0.739360501,37.43367922,9.772232428,0.144107771,0.25232485,0
-1.066440171,-0.166924536,-0.996403542,84.94455519,-167.040847,77.93529565,0,0,0
-0.75631957,0.085704412,-0.85420007,25.0325044,29.82503372,-37.51531863,0,0.141547004,0.238196794
-1.062188842,0.101123706,-0.507401105,5.120151956,-36.24304599,-1.982942712,0.158628944,0.287665071,0.545920756
-1.931238913,0.561976107,-0.772897943,-64.39666802,-121.2151222,26.74338654,0.050957599,0.142751105,0
-1.061094572,0.269005995,-0.490846565,-13.24344898,-40.56636134,-47.96266422,0,0,0.80001715
-1.879217128,-0.230127569,-1.126391777,-21.94044014,107.3902876,193.3015825,0,0,0
-1.230153494,0.225646948,-0.17672741,63.48339539,-140.1312293,6.826981942,0,0,0.109712955
-0.840606284,0.03090273,-0.495878486,-132.6370648,87.10507914,-113.1248419,0,0,0.616007554
-1.006314847,-0.171168497,-0.736910507,82.93658104,-115.9015333,85.66820787,0,0,0
-0.656459987,0.117896163,-0.4935441,-7.465522953,67.24138242,-5.179340011,0,0,0.438263373
-1.179890756,0.332297084,-0.543457452,51.46740277,-172.9747292,-21.89327281,0,0,0
-0.827716376,0.048805911,-0.831628689,33.64249544,32.75403746,-76.87763013,0,0,0.091834227
-1.046197633,-0.009803486,-0.447212494,-18.34912029,-37.85050556,-2.547822562,0.087401996,0.049580629,0.609781176
-0.137249883,-0.204919309,-1.490642928,7.421951743,226.8221717,33.404807,0,0,0
-0.98922184,0.040929828,-0.676438648,-42.77303045,25.50781654,-22.20311227,0.250541452,0.082762824,0
-0.367983054,-0.209925551,-1.038570092,-50.33363537,-46.92771995,-28.60003515,0,0,0
-0.914056666,0.080068761,-0.65818999,-24.39835688,12.6005079,-27.27698247,0,0,0.424387226
-0.904119341,-0.020632669,-0.695705099,231.9457459,21.09825202,80.63498917,0,0,0
-1.045640257,-0.057814937,-0.46455873,-29.48745591,45.39571293,-53.79695918,0,0,0.425140223
-0.94821465,0.041623101,-0.293397196,44.66005039,-19.6494761,-1.153722065,0,0,0.970648549
-0.507380064,0.512665724,-1.165395673,50.46985955,94.18878551,-18.61006527,0,0,0
-0.877041501,0.105319152,-0.573650548,-36.27713486,73.02726929,-30.83426546,0,0,0.781416015
-0.903705415,0.247335084,-0.592136689,-40.46006819,171.2228651,24.01660181,0,0,0
-0.995257411,-0.077916032,-0.751736785,39.28489476,30.30060467,11.47493883,0,0,0.249951094
-0.883906574,0.168754807,-0.584695001,-28.45425831,-64.25644797,-16.99877408,0.104467459,0,0.418933143
-0.874136052,1.349336861,-0.806760379,-119.7269533,-14.67630529,-18.89032645,0,0,0
-0.963696261,0.060088897,-0.696269708,-32.29472922,30.04440337,3.510251282,0.131904858,0.250410367,0.622950075
-1.07067012,-0.296438753,-1.100547055,28.10981953,-125.1945208,38.33862097,0.118153271,0,0
-1.008966363,0.316718869,-0.596307842,1.72685757,-21.40591671,-51.61307772,0,0,0
-0.454695842,0.093029898,-0.598834998,72.22368775,-60.85952281,137.1653435,0,0,0
-0.907653424,0.211419245,-0.670189581,38.40311794,-67.47208815,11.92666066,0,0,0
-0.341782508,0.090651659,-1.165935991,-79.7706171,43.05553949,-60.84125832,0.186250033,0,0
-0.679596666,-0.123571395,-0.809086246,20.55726583,16.91197446,-65.81492434,0,0,0
-0.983015956,0.285925393,-0.958996851,44.21241459,-23.99039588,19.08642928,0,0,0.315375297
