accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,source
-0.986449752,-0.030062898,-0.371796812,49.67268294,-22.72025596,10.04656566,0,0,1.167188044,augmented_5
-0.456931366,-0.223112623,-1.045764555,16.34045703,-22.68502132,52.15981528,0,0,0,augmented_5
-0.887741598,0.152872745,-0.613979038,104.2699715,10.87605737,39.99108878,0,0.367721166,0.22424676,augmented_5
-0.298848124,-0.364182315,-0.934097175,69.76115782,-72.06795324,43.47899874,0,0,0,augmented_5
-0.789131453,0.186280776,-0.934389231,-50.80800086,48.34332243,-53.04071834,0,0.298444486,0,augmented_5
-0.641589682,0.057959796,0.454627108,19.49357724,-27.94570726,0.183920116,0,0,0,augmented_5
-0.78892653,-0.069006059,-0.979212686,-2.187002461,9.644045713,-2.252303893,0.305448412,0.109645877,0,augmented_5
-0.51891268,0.575888294,-0.614491207,-80.508667,149.4024506,-185.2035167,0,0,0,augmented_5
-0.687025991,0.14708313,-1.011878391,0.496036208,3.557436715,-3.560496092,0.057857391,0.240952798,0,augmented_5
-0.968291893,0.580761569,-0.665817787,97.32893551,178.1283625,25.06627581,0,0,0,augmented_5
-0.723268104,-0.071163085,-0.979504366,10.2008285,16.1859888,1.16980459,0.153983306,0.232009914,0,augmented_5
-1.342290058,0.575580699,-0.807887652,48.45986055,-138.7724721,-47.32058872,0,0,0,augmented_5
-0.822709326,0.134345609,-0.934757243,0.69551377,39.80622298,9.491544374,0.138449163,0.24634599,0,augmented_5
-1.010135587,-0.175032981,-0.978939069,91.09272615,-173.0124349,77.75582289,0,0,0,augmented_5
-0.783502982,0.091555831,-0.875160251,26.08421302,29.25561752,-35.11802449,0,0.138770878,0.253614906,augmented_5
-1.041703183,0.102022443,-0.493086188,4.97035016,-34.48991676,-2.178464066,0.166971042,0.27328233,0.557883148,augmented_5
-2.000749644,0.587044761,-0.795159879,-61.73350342,-113.1359933,25.62906207,0.049037951,0.144332268,0,augmented_5
-1.042832292,0.257353726,-0.499691131,-14.22008556,-40.37948608,-49.06494879,0,0,0.789211341,augmented_5
-1.938375205,-0.23336091,-1.073592828,-23.62462155,116.8029889,197.7090083,0,0,0,augmented_5
-1.141890963,0.221904265,-0.177602797,59.73472529,-148.3125614,6.345384505,0,0,0.113937397,augmented_5
-0.87929543,0.02967854,-0.493640023,-132.5366664,89.40148617,-113.90108,0,0,0.630170319,augmented_5
-1.050026832,-0.172720052,-0.710393793,86.3100718,-125.2589751,81.44497498,0,0,0,augmented_5
-0.619507597,0.120929605,-0.476684589,-7.074414081,67.77408498,-5.127418323,0,0,0.449325874,augmented_5
-1.240122032,0.308582819,-0.543707145,52.92729188,-180.1643812,-22.1933756,0,0,0,augmented_5
-0.842671336,0.049584753,-0.863558031,32.63604084,33.34879517,-77.20850792,0,0,0.087135458,augmented_5
-0.993692688,-0.010393711,-0.469468067,-19.71416073,-37.9113901,-2.662086368,0.088000145,0.051521436,0.644546748,augmented_5
-0.142316577,-0.191230465,-1.395744256,6.827630106,217.0745891,36.01409659,0,0,0,augmented_5
-1.056786114,0.041316784,-0.641494648,-40.8239865,27.36594735,-23.09443829,0.243617155,0.079435118,0,augmented_5
-0.355018247,-0.209436593,-1.067179363,-47.24140134,-44.41771127,-27.29825986,0,0,0,augmented_5
-0.838926866,0.080071078,-0.627121609,-24.71227699,12.38938826,-26.39440417,0,0,0.445380545,augmented_5
-0.863099583,-0.02081192,-0.66847487,220.1297881,21.341407,78.47504064,0,0,0,augmented_5
-1.016571804,-0.057338104,-0.492674737,-29.00683962,44.24162516,-53.52182848,0,0,0.44547209,augmented_5
-1.026539407,0.038863587,-0.306374105,44.14874419,-19.28382681,-1.19436298,0,0,0.969656972,augmented_5
-0.555258836,0.49561372,-1.084946288,53.92940125,98.8649096,-18.3642575,0,0,0,augmented_5
-0.886321394,0.11002947,-0.594556053,-35.33469114,67.37274225,-30.03242237,0,0,0.820361675,augmented_5
-0.97153182,0.259708987,-0.584595271,-41.42426925,173.3172103,23.8234378,0,0,0,augmented_5
-0.927919618,-0.083901266,-0.732778362,39.63513483,30.99049565,11.62110666,0,0,0.253231529,augmented_5
-0.908574129,0.169023217,-0.633744462,-28.23384815,-62.90245409,-16.62125502,0.098910292,0,0.398728915,augmented_5
-0.837947703,1.407963215,-0.757452727,-117.6634343,-14.41610453,-18.21404333,0,0,0,augmented_5
-0.922904465,0.062857143,-0.673902353,-34.14815866,27.87602922,3.37342502,0.12785006,0.259680442,0.600404413,augmented_5
-0.992767743,-0.304571244,-1.1424165,26.4609971,-127.7409191,39.09774458,0.123981479,0,0,augmented_5
-1.079226926,0.315113355,-0.544057317,1.626652638,-20.51600885,-52.31268657,0,0,0,augmented_5
-0.471599064,0.08694211,-0.603790494,71.51981567,-64.92012693,131.6427715,0,0,0,augmented_5
-0.933747557,0.22557339,-0.710863627,41.49135735,-71.51317748,11.95948466,0,0,0,augmented_5
-0.339256564,0.090601247,-1.078895527,-79.15140611,46.48761752,-62.78870001,0.180924176,0,0,augmented_5
-0.682317586,-0.114446575,-0.758437979,20.88545404,16.61830849,-63.52422557,0,0,0,augmented_5
-0.998913651,0.287833704,-1.012671876,47.97509307,-24.10007972,20.27134707,0,0,0.29526416,augmented_5
