accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4,label
-1.02,-0.10,-0.29,-4.64,-6.90,9.46,0.61,0.10,0.47,0.58,Abnormal
-0.97,-0.02,-0.48,-53.89,-24.35,-76.78,0.00,0.00,0.00,0.00,Normal
-1.03,-0.06,-0.30,-17.03,26.79,15.87,0.16,0.00,0.59,0.73,Abnormal
-1.10,-0.14,-0.16,86.36,61.16,171.33,0.00,0.00,0.00,0.00,Normal
-1.01,-0.20,-0.44,11.05,22.34,35.71,0.18,0.00,0.62,0.73,Abnormal
-0.62,-0.29,-0.23,-119.02,10.86,52.49,0.00,0.00,0.00,0.00,Normal
-1.29,0.27,-0.23,-152.34,26.43,-0.24,0.21,0.00,0.59,0.66,Abnormal
-0.74,0.52,-0.09,-112.30,-18.49,-35.10,0.00,0.00,0.00,0.00,Normal
-1.06,-0.11,-0.26,-18.07,6.96,35.77,0.21,0.06,0.22,0.50,Abnormal
-1.64,-1.10,-0.67,8.97,-11.60,-181.70,0.00,0.00,0.00,0.00,Normal
-1.03,-0.05,-0.22,-6.23,11.66,43.58,0.66,0.21,0.00,0.00,Normal
-1.44,-0.88,-0.63,-18.74,-5.13,-210.57,0.00,0.00,0.00,0.00,Normal
-1.05,0.05,-0.22,-10.56,12.63,32.96,0.22,0.04,0.09,0.45,Abnormal
-1.32,-0.52,-0.15,-51.82,-28.20,-130.74,0.00,0.00,0.00,0.00,Normal
-1.08,-0.19,-0.28,3.97,10.44,75.74,0.93,0.34,0.00,0.00,Normal
-1.28,-0.52,-0.21,-42.97,8.91,-5.55,0.00,0.00,0.00,0.00,Normal
-1.15,-0.19,-0.22,6.41,11.23,75.93,0.65,0.31,0.00,0.00,Normal
-0.86,-0.28,-0.34,32.29,27.59,79.22,0.00,0.00,0.00,0.09,Normal
-1.03,-0.30,-0.23,21.12,6.96,74.58,0.78,0.38,0.00,0.00,Normal
-0.55,-0.07,-0.39,13.00,16.91,50.72,0.00,0.00,0.00,0.28,Abnormal
-1.49,-0.26,-0.31,71.84,21.06,174.99,0.24,0.08,0.00,0.00,Normal
-0.29,-0.44,-0.19,-61.16,16.24,9.03,0.00,0.00,0.65,0.72,Abnormal
-0.40,-0.58,-0.32,-42.85,-12.33,136.66,0.00,0.00,0.00,0.00,Normal
-0.95,0.04,-0.17,-4.94,6.47,53.83,0.00,0.00,0.49,0.76,Abnormal
-0.49,-0.96,-0.36,-37.66,-17.64,111.39,0.00,0.00,0.00,0.00,Normal
-1.05,0.20,-0.24,12.27,15.38,13.61,0.00,0.00,0.61,0.77,Abnormal
-0.49,0.41,-0.34,-190.61,-42.30,-63.90,0.00,0.00,0.00,0.00,Normal
-0.26,0.08,-0.46,165.89,-8.54,-112.00,0.00,0.00,0.00,0.00,Normal
-1.02,0.03,-0.36,36.99,6.23,27.89,0.00,0.00,0.76,0.80,Abnormal
-1.40,-0.29,-0.32,185.30,-40.53,-206.05,0.00,0.00,0.00,0.00,Normal
-0.43,0.31,-0.15,-108.09,21.30,-105.10,0.00,0.00,0.00,0.00,Normal
-1.07,0.06,-0.24,5.31,12.88,45.41,0.00,0.00,0.38,0.59,Abnormal
-0.28,0.47,-0.15,133.54,-102.23,-167.24,0.00,0.00,0.00,0.00,Normal
-1.05,0.17,-0.27,18.80,11.78,47.12,0.31,0.00,0.11,0.53,Abnormal
-1.64,-1.02,-0.10,-82.70,-12.02,-242.00,0.00,0.00,0.00,0.00,Normal
-1.13,-0.18,-0.30,-0.79,-1.95,75.62,0.63,0.33,0.00,0.00,Normal
-1.43,-0.85,-0.30,53.22,28.02,89.48,0.00,0.00,0.00,0.08,Normal
-1.67,0.30,-0.45,55.97,23.19,124.21,0.77,0.29,0.00,0.00,Normal
-0.40,0.45,-0.23,48.89,21.18,114.56,0.25,0.00,0.33,0.57,Abnormal
-1.05,0.07,-0.23,1.46,5.00,2.56,0.00,0.00,0.42,0.76,Abnormal
-1.05,-0.09,-0.19,8.91,-0.55,8.18,0.62,0.31,0.00,0.00,Normal
-0.96,-0.09,-0.23,9.09,1.71,-10.99,0.20,0.05,0.41,0.61,Abnormal
-1.04,0.04,-0.16,-6.23,6.96,15.01,0.00,0.00,0.66,0.85,Abnormal
-0.95,-0.17,-0.11,-5.74,-7.81,-17.82,0.81,0.37,0.00,0.00,Normal
-1.05,0.11,-0.19,13.85,5.86,17.70,0.00,0.00,0.62,0.83,Abnormal
-1.11,-0.22,-0.14,18.01,19.10,29.79,0.96,0.48,0.00,0.00,Normal
-1.94,1.41,-0.95,-248.47,13.61,-73.12,0.00,0.00,0.32,0.46,Abnormal
-1.10,-0.04,-0.11,24.29,19.84,47.97,0.32,0.18,0.00,0.12,Normal
-1.05,-0.21,-0.22,135.56,9.64,54.44,0.00,0.00,0.00,0.00,Normal
-1.02,-0.21,-0.17,8.85,15.63,46.75,0.33,0.19,0.00,0.15,Normal
-1.38,-0.62,-0.29,-75.44,-48.83,-262.51,0.00,0.00,0.00,0.00,Normal
-1.08,-0.01,-0.19,13.18,12.76,45.10,0.65,0.26,0.00,0.00,Normal
-1.24,-0.15,-0.43,45.23,-27.59,-219.18,0.00,0.00,0.00,0.00,Normal
-1.03,-0.16,-0.25,0.43,10.86,25.15,1.02,0.32,0.00,0.00,Normal
-1.21,-0.79,-0.56,-105.29,-46.75,-215.39,0.00,0.00,0.00,0.00,Normal
-1.03,-0.09,-0.30,13.12,-2.08,45.04,0.69,0.14,0.10,0.36,Abnormal
-1.38,-0.84,-0.31,-154.60,-48.22,-190.00,0.00,0.00,0.00,0.00,Normal
-1.08,0.00,-0.28,-9.03,9.83,27.65,0.23,0.05,0.30,0.58,Abnormal
-1.16,-0.30,-0.33,69.09,-33.87,-244.26,0.00,0.00,0.00,0.00,Normal
-0.99,-0.10,-0.25,-8.42,12.57,28.26,0.85,0.27,0.00,0.00,Normal
-1.29,-0.27,-0.57,96.98,-4.15,-242.31,0.00,0.00,0.00,0.00,Normal
-1.07,0.01,-0.19,-3.05,11.90,33.63,0.55,0.15,0.00,0.28,Abnormal
-1.12,-0.73,-0.56,152.59,3.42,-221.56,0.00,0.00,0.00,0.00,Normal
-1.01,-0.07,-0.20,-13.06,12.57,36.93,0.25,0.05,0.00,0.29,Abnormal
-1.29,-0.13,-0.57,232.18,-32.41,-184.14,0.00,0.00,0.00,0.00,Normal
-0.96,0.01,-0.24,20.45,9.77,37.90,0.17,0.05,0.13,0.47,Abnormal
0.58,-0.01,-0.37,-126.34,28.87,-44.01,0.00,0.00,0.00,0.00,Normal
-0.94,-0.16,-0.28,-29.30,8.61,3.97,0.23,0.00,0.27,0.62,Abnormal
-1.04,-0.07,-0.23,-2.69,-1.83,-5.92,0.89,0.26,0.00,0.00,Normal
-1.01,0.01,-0.22,3.36,0.79,-4.76,0.00,0.00,0.57,0.74,Abnormal
-1.05,-0.06,-0.21,7.20,-3.48,13.43,0.75,0.31,0.00,0.00,Normal
-1.02,0.02,-0.22,8.48,4.09,-10.93,0.00,0.00,0.48,0.68,Abnormal
-1.02,-0.06,-0.24,10.50,-4.82,19.47,0.46,0.16,0.00,0.09,Normal
-1.02,0.04,-0.19,-15.32,7.69,-3.66,0.00,0.00,0.55,0.74,Abnormal
-1.00,-0.11,-0.19,4.64,-1.83,-1.10,1.01,0.40,0.00,0.00,Normal
-1.00,-0.01,-0.23,15.32,-2.38,3.60,0.00,0.06,0.50,0.62,Abnormal
-0.97,-0.34,-0.26,52.37,-8.24,12.21,0.07,0.00,0.00,0.00,Normal
-1.07,-0.24,-0.43,45.59,26.18,34.67,0.13,0.00,0.40,0.68,Abnormal
-1.09,-0.80,-0.09,26.55,31.56,212.95,0.00,0.00,0.00,0.00,Normal
-0.90,0.16,-0.25,-18.13,11.47,71.90,0.00,0.00,0.30,0.70,Abnormal
-0.35,0.39,-0.07,-111.82,2.32,-83.44,0.00,0.00,0.00,0.00,Normal
-1.01,-0.04,-0.33,-93.08,11.72,7.63,0.00,0.00,0.15,0.55,Abnormal
-0.87,-0.96,-0.19,-57.01,-34.36,123.35,0.00,0.00,0.00,0.00,Normal
-0.90,0.25,-0.43,-64.09,22.83,22.03,0.00,0.00,0.50,0.62,Abnormal
-1.17,-0.19,-0.24,4.82,-4.52,62.01,1.00,0.41,0.00,0.00,Normal
-1.87,-0.13,-0.44,-348.08,-54.08,-64.09,0.09,0.00,0.20,0.49,Abnormal
-1.09,-0.19,-0.13,19.65,25.27,48.65,0.95,0.44,0.00,0.00,Normal
-1.56,-0.07,-0.24,-250.61,60.12,42.91,0.13,0.00,0.00,0.40,Abnormal
0.17,-0.36,-0.19,-64.88,57.13,-24.11,0.00,0.00,0.00,0.00,Normal
-1.06,0.06,-0.24,28.50,20.45,48.22,0.55,0.14,0.33,0.53,Abnormal
-0.12,0.37,-0.34,173.46,-48.03,-99.37,0.00,0.00,0.00,0.00,Normal
-1.00,-0.07,-0.21,14.59,12.82,45.59,0.83,0.25,0.00,0.00,Normal
-1.64,-0.85,-0.43,291.26,14.16,-97.11,0.00,0.00,0.00,0.00,Normal
-1.07,-0.04,-0.21,-3.60,1.95,61.52,0.06,0.00,0.08,0.72,Abnormal
-1.25,0.46,-0.34,-66.28,17.76,93.69,0.00,0.00,0.30,0.51,Abnormal
-1.02,-0.24,-0.16,26.18,17.94,59.69,0.63,0.32,0.00,0.00,Normal
-1.23,-0.43,-0.16,77.27,15.69,-11.60,0.00,0.00,0.00,0.00,Normal
